WL(um)	Flux(W/m2/um)
0.405	3.12E+03
0.407	3.07E+03
0.409	3.03E+03
0.411	2.70E+03
0.413	3.16E+03
0.415	3.25E+03
0.417	3.23E+03
0.419	3.20E+03
0.421	3.18E+03
0.423	3.09E+03
0.425	3.14E+03
0.427	3.05E+03
0.429	2.98E+03
0.431	2.72E+03
0.433	2.86E+03
0.435	2.62E+03
0.437	3.18E+03
0.439	3.07E+03
0.441	3.10E+03
0.443	3.09E+03
0.445	3.09E+03
0.447	3.14E+03
0.449	3.10E+03
0.451	3.29E+03
0.453	3.09E+03
0.455	3.10E+03
0.457	3.23E+03
0.459	3.09E+03
0.461	3.14E+03
0.463	3.09E+03
0.465	3.10E+03
0.467	3.14E+03
0.469	3.09E+03
0.471	2.95E+03
0.473	3.09E+03
0.475	3.10E+03
0.477	3.07E+03
0.479	3.05E+03
0.481	3.01E+03
0.483	3.01E+03
0.485	2.72E+03
0.487	2.32E+03
0.489	2.86E+03
0.491	2.88E+03
0.493	2.85E+03
0.495	2.90E+03
0.497	2.94E+03
0.499	2.77E+03
0.501	2.70E+03
0.503	2.81E+03
0.505	2.79E+03
0.507	2.85E+03
0.509	2.79E+03
0.511	2.81E+03
0.513	2.73E+03
0.515	2.68E+03
0.517	2.58E+03
0.519	2.57E+03
0.521	2.64E+03
0.523	2.66E+03
0.525	2.70E+03
0.527	2.49E+03
0.529	2.64E+03
0.531	2.66E+03
0.533	2.53E+03
0.535	2.62E+03
0.537	2.60E+03
0.539	2.58E+03
0.541	2.51E+03
0.543	2.55E+03
0.545	2.57E+03
0.547	2.53E+03
0.549	2.55E+03
0.551	2.53E+03
0.553	2.51E+03
0.555	2.51E+03
0.557	2.45E+03
0.559	2.44E+03
0.561	2.45E+03
0.563	2.45E+03
0.565	2.45E+03
0.567	2.40E+03
0.569	2.42E+03
0.571	2.38E+03
0.573	2.45E+03
0.575	2.40E+03
0.577	2.40E+03
0.579	2.36E+03
0.581	2.38E+03
0.583	2.38E+03
0.585	2.34E+03
0.587	2.32E+03
0.589	2.27E+03
0.591	2.31E+03
0.593	2.29E+03
0.595	2.29E+03
0.597	2.27E+03
0.599	2.25E+03
0.601	2.21E+03
0.603	2.21E+03
0.605	2.23E+03
0.607	2.21E+03
0.609	2.18E+03
0.611	2.16E+03
0.613	2.10E+03
0.615	2.10E+03
0.617	2.08E+03
0.619	2.12E+03
0.621	2.12E+03
0.623	2.08E+03
0.625	2.03E+03
0.627	2.08E+03
0.629	2.06E+03
0.631	2.03E+03
0.633	2.03E+03
0.635	2.01E+03
0.637	2.01E+03
0.639	2.01E+03
0.641	1.95E+03
0.643	1.95E+03
0.645	1.93E+03
0.647	1.93E+03
0.649	1.90E+03
0.651	1.91E+03
0.653	1.88E+03
0.655	1.74E+03
0.657	1.44E+03
0.659	1.81E+03
0.661	1.86E+03
0.663	1.86E+03
0.665	1.85E+03
0.667	1.83E+03
0.669	1.84E+03
0.671	1.82E+03
0.673	1.82E+03
0.675	1.80E+03
0.677	1.79E+03
0.679	1.78E+03
