WL(um)	Flux(W/m2/um)
9.13E-01	939.9097111
9.15E-01	934.9035342
9.17E-01	932.4004457
9.19E-01	937.4066226
9.21E-01	916.1303709
9.23E-01	914.8788266
9.25E-01	906.1180171
9.27E-01	912.3757382
9.29E-01	908.6211055
9.31E-01	913.6272824
9.33E-01	906.1180171
9.35E-01	902.3633844
9.37E-01	892.3510306
9.39E-01	897.3572075
9.41E-01	866.068602
9.43E-01	889.8479422
9.45E-01	871.0747788
9.47E-01	884.8417653
9.49E-01	886.0933095
9.51E-01	877.3325
9.53E-01	873.5778673
9.55E-01	854.804704
9.57E-01	858.5593366
9.59E-01	868.5716904
9.61E-01	857.3077924
9.63E-01	851.0500713
9.65E-01	838.5346291
9.67E-01	839.7861733
9.69E-01	848.5469828
9.71E-01	839.7861733
9.73E-01	836.0315406
9.75E-01	829.7738195
9.77E-01	828.5222753
9.79E-01	818.5099215
9.81E-01	828.5222753
9.83E-01	823.5160984
9.85E-01	824.7676426
9.87E-01	816.0068331
9.89E-01	813.5037446
9.91E-01	812.2522004
9.93E-01	813.5037446
9.95E-01	811.0006562
9.97E-01	808.4975677
9.99E-01	803.4913908
1.00E+00	797.2336697
1.01E+00	785.9697717
1.01E+00	783.4666833
1.02E+00	770.951241
1.02E+00	765.9450642
1.03E+00	763.4419757
1.03E+00	749.6749893
1.04E+00	742.1657239
1.04E+00	742.1657239
1.05E+00	730.9018259
1.05E+00	729.6502817
1.06E+00	718.3863837
1.06E+00	710.8771184
1.07E+00	698.3616761
1.07E+00	697.1101319
1.08E+00	687.0977781
1.08E+00	674.5823359
1.09E+00	672.0792475
1.09E+00	670.8277032
1.10E+00	660.8153495
1.10E+00	663.3184379
1.11E+00	660.8153495
1.11E+00	653.3060841
1.12E+00	645.7968188
1.12E+00	643.2937304
1.13E+00	628.2751997
1.13E+00	628.2751997
1.14E+00	620.7659343
1.14E+00	610.7535806
1.15E+00	617.0113017
1.15E+00	613.256669
1.16E+00	603.2443152
1.16E+00	593.2319615
1.17E+00	591.9804172
1.17E+00	593.2319615
1.18E+00	580.7165192
1.18E+00	573.2072539
1.19E+00	566.9495328
1.19E+00	574.4587981
1.20E+00	550.6794579
1.20E+00	559.4402674
1.21E+00	551.9310021
1.21E+00	551.9310021
1.22E+00	553.1825463
1.22E+00	548.1763694
1.23E+00	540.6671041
1.23E+00	538.1640157
1.24E+00	534.409383
1.24E+00	528.1516619
1.25E+00	526.9001177
1.25E+00	520.6423966
1.26E+00	518.1393081
1.26E+00	514.3846754
1.27E+00	506.8754101
1.27E+00	506.8754101
1.28E+00	504.3723217
1.28E+00	483.0960699
1.29E+00	493.1084237
1.29E+00	488.1022468
1.30E+00	489.353791
1.30E+00	481.8445257
1.31E+00	481.8445257
1.31E+00	470.5806277
1.32E+00	469.3290834
1.32E+00	470.5806277
1.33E+00	461.8198181
1.33E+00	461.8198181
1.34E+00	458.0651854
1.34E+00	459.3167296
1.35E+00	454.3105528
1.35E+00	451.8074643
1.36E+00	443.0466548
1.36E+00	441.7951105
1.37E+00	440.5435663
1.37E+00	439.2920221
1.38E+00	434.2858452
1.38E+00	433.034301
1.39E+00	429.2796683
1.39E+00	428.0281241
1.40E+00	425.5250356
1.40E+00	418.0157703
1.41E+00	419.2673145
1.41E+00	413.0095934
1.42E+00	415.5126819
1.42E+00	405.5003281
1.43E+00	397.9910627
1.43E+00	404.2487839
1.44E+00	404.2487839
1.44E+00	390.4817974
1.45E+00	397.9910627
1.45E+00	389.2302532
1.46E+00	390.4817974
1.46E+00	390.4817974
1.47E+00	387.978709
1.47E+00	380.4694436
1.48E+00	379.2178994
1.48E+00	377.9663552
1.49E+00	366.7024572
1.49E+00	376.714811
1.50E+00	370.4570899
1.50E+00	351.6839265
1.51E+00	356.6901034
1.51E+00	364.1993687
1.52E+00	362.9478245
1.52E+00	357.9416476
1.53E+00	359.1931919
1.53E+00	355.4385592
1.54E+00	354.187015
1.54E+00	354.187015
1.55E+00	350.4323823
1.55E+00	344.1746612
1.56E+00	341.6715727
1.56E+00	344.1746612
1.57E+00	334.1623074
1.57E+00	336.6653958
1.58E+00	321.6468652
1.58E+00	327.9045863
1.59E+00	317.8922325
1.59E+00	322.8984094
1.60E+00	324.1499536
1.61E+00	320.395321
1.62E+00	314.1375998
1.63E+00	311.6345114
1.64E+00	305.3767903
1.65E+00	299.1190692
1.66E+00	296.6159807
1.67E+00	291.6098038
1.68E+00	282.8489943
1.69E+00	276.5912732
1.70E+00	276.5912732
1.71E+00	266.5789194
1.72E+00	262.8242867
1.73E+00	256.5665656
1.74E+00	247.8057561
1.75E+00	246.5542118
1.76E+00	242.7995792
1.77E+00	239.0449465
1.78E+00	232.7872254
1.79E+00	230.2841369
1.80E+00	225.27796
1.81E+00	220.2717832
1.82E+00	214.014062
1.83E+00	211.5109736
1.84E+00	207.7563409
1.85E+00	201.4986198
1.86E+00	200.2470756
1.87E+00	193.9893545
1.88E+00	185.2285449
1.89E+00	187.7316334
1.90E+00	180.222368
1.91E+00	181.4739123
1.92E+00	177.7192796
1.93E+00	175.2161911
1.94E+00	170.2100143
1.95E+00	163.9522931
1.96E+00	165.2038374
1.97E+00	162.7007489
1.98E+00	157.694572
1.99E+00	156.4430278
2.00E+00	153.9399394
2.01E+00	152.6883951
2.02E+00	150.1853067
2.03E+00	146.430674
2.04E+00	142.6760414
2.05E+00	142.6760414
2.06E+00	138.9214087
2.07E+00	136.4183203
2.08E+00	133.9152318
2.09E+00	132.6636876
2.10E+00	128.9090549
2.11E+00	127.6575107
2.12E+00	125.1544222
2.13E+00	123.2771059
2.14E+00	121.6500984
2.15E+00	119.6476277
2.16E+00	117.6451569
2.17E+00	113.1395977
2.18E+00	112.8892889
2.19E+00	111.2622814
2.20E+00	110.0107372
2.21E+00	107.007031
2.22E+00	106.5064133
2.23E+00	104.2536337
2.24E+00	102.6266262
2.25E+00	100.9996188
2.26E+00	99.49776569
2.27E+00	97.49529493
2.28E+00	96.61921398
2.29E+00	94.36643437
2.30E+00	90.11118402
2.31E+00	90.48664729
2.32E+00	89.23510306
2.33E+00	84.3540806
2.34E+00	84.97985271
2.35E+00	84.97985271
2.36E+00	79.72336697
2.37E+00	81.35037446
2.38E+00	80.59944793
2.39E+00	76.09388873
2.40E+00	77.34543295
2.41E+00	76.84481526
2.42E+00	73.21533702
2.43E+00	73.59080028
2.44E+00	72.96502817
2.45E+00	70.83740299
2.46E+00	69.46070435
2.47E+00	70.08647646
2.48E+00	68.20916013
2.49E+00	66.20668937
2.50E+00	66.70730706
2.51E+00	66.33184379
2.52E+00	64.07906419
2.53E+00	64.20421861
2.54E+00	63.32813766
2.55E+00	62.07659343
2.56E+00	61.20051248
2.57E+00	60.44958595
2.58E+00	60.1992771
2.59E+00	58.19680635
2.60E+00	58.19680635
2.61E+00	57.69618866
2.62E+00	56.69495328
2.63E+00	54.81763694
2.64E+00	55.06794579
2.65E+00	54.19186483
2.66E+00	53.56609272
2.67E+00	52.43970292
2.68E+00	52.56485734
2.69E+00	51.93908523
2.70E+00	51.06300428
2.71E+00	50.43723217
2.72E+00	49.81146005
2.73E+00	49.18568794
2.74E+00	48.55991583
2.75E+00	47.93414372
2.76E+00	47.30837161
2.77E+00	46.55744508
2.78E+00	45.93167296
2.79E+00	45.43105528
2.80E+00	44.93043759
2.81E+00	44.30466548
