
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 1.6768E-06  F_CO2= 3.3000E-04  F_O2= 2.0714E-01  F_N2= 7.6937E-01  F_H2= 9.8637E-61  F_AR= 9.8637E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2

 FNO2 = 1.000E-60

 NST=     1 JCONV=101 CHG=0.00E+00 dt0=1.00E+04 DIVF(1)=      NaN DIVFrms=      NaN DT(ND)=      NaN T(ND)=       NaN

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP =    NaN

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 85 5.0455E-01        NaN        NaN  0.00E+00          NaN  2.5624E+02  4.0000E-06  1.0686E-03  5.5797E-08         NaN         NaN
 86 5.3217E-01        NaN        NaN  0.00E+00          NaN  2.5905E+02  4.0000E-06  1.3890E-03  5.4177E-08         NaN         NaN
 87 5.6067E-01        NaN        NaN  0.00E+00          NaN  2.6171E+02  4.0000E-06  1.7693E-03  5.2591E-08         NaN         NaN
 88 5.9003E-01        NaN        NaN  0.00E+00          NaN  2.6421E+02  4.0000E-06  2.2125E-03  5.1039E-08         NaN         NaN
 89 6.2025E-01        NaN        NaN  0.00E+00          NaN  2.6656E+02  4.0000E-06  2.7208E-03  4.9520E-08         NaN         NaN
 90 6.5129E-01        NaN        NaN  0.00E+00          NaN  2.6878E+02  4.0000E-06  3.2956E-03  4.8036E-08         NaN         NaN
 91 6.8312E-01        NaN        NaN  0.00E+00          NaN  2.7088E+02  4.0000E-06  3.9378E-03  4.6585E-08         NaN         NaN
 92 7.1570E-01        NaN        NaN  0.00E+00          NaN  2.7286E+02  4.0000E-06  4.6478E-03  4.5169E-08         NaN         NaN
 93 7.4901E-01        NaN        NaN  0.00E+00          NaN  2.7494E+02  4.0000E-06  5.5017E-03  4.3786E-08         NaN         NaN
 94 7.8299E-01        NaN        NaN  0.00E+00          NaN  2.7693E+02  4.0000E-06  6.3230E-03  4.2437E-08         NaN         NaN
 95 8.1760E-01        NaN        NaN  0.00E+00          NaN  2.7885E+02  4.0000E-06  7.2167E-03  4.1122E-08         NaN         NaN
 96 8.5280E-01        NaN        NaN  0.00E+00          NaN  2.8067E+02  4.0000E-06  8.2428E-03  3.9841E-08         NaN         NaN
 97 8.8852E-01        NaN        NaN  0.00E+00          NaN  2.8242E+02  4.0000E-06  9.2246E-03  3.8593E-08         NaN         NaN
 98 9.2470E-01        NaN        NaN  0.00E+00          NaN  2.8410E+02  4.0000E-06  1.0355E-02  3.7380E-08         NaN         NaN
 99 9.6128E-01        NaN        NaN  0.00E+00          NaN  2.8571E+02  4.0000E-06  1.1569E-02  3.6200E-08         NaN         NaN
100 9.9821E-01        NaN        NaN  0.00E+00          NaN  2.8725E+02  4.0000E-06  1.2733E-02  3.5055E-08         NaN         NaN
101 1.0169E+00 0.0000E+00        NaN  1.00E+00          NaN  2.8800E+02  4.0000E-06  1.3303E-02  3.4490E-08  0.0000E+00  0.0000E+00
  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT

 FCO2
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04 3.30E-04
  3.30E-04

  J    PF         ALT       FTOTAL       FTIR       FDNIR       FUPIR       FTSOL       FDNSOL       FUPSOL       DIVF
  1 1.0000E-04        NaN         NaN         NaN  0.0000E+00         NaN         NaN  3.4178E+05         NaN         NaN
  2 1.1588E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
  3 1.3414E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
  4 1.5510E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
  5 1.7913E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
  6 2.0666E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
  7 2.3816E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
  8 2.7414E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
  9 3.1522E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 10 3.6204E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 11 4.1536E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 12 4.7600E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 13 5.4489E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 14 6.2305E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 15 7.1163E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 16 8.1190E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 17 9.2526E-04        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 18 1.0533E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 19 1.1977E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 20 1.3603E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 21 1.5434E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 22 1.7491E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 23 1.9801E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 24 2.2390E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 25 2.5290E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 26 2.8534E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 27 3.2158E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 28 3.6202E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 29 4.0709E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 30 4.5726E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 31 5.1304E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 32 5.7499E-03        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
