#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
 134  1.241977  3.8017  4.0377  0.6547  3.6327  3.6187  3.1129  2.8230  2.5523  2.2023  1.9666  1.9398  2.9276  3.2321
 135  1.244627  3.8006  4.0289  0.6600  3.6303  3.6111  3.1007  2.8090  2.5367  2.1839  1.9461  1.9190  2.9143  3.2212
 136  1.247052  3.7997  4.0199  0.6661  3.6233  3.5997  3.0861  2.7928  2.5192  2.1641  1.9245  1.8973  2.8987  3.2073
 137  1.249587  3.7987  4.0111  0.6721  3.6169  3.5890  3.0721  2.7772  2.5022  2.1448  1.9033  1.8759  2.8836  3.1942
 138  1.252128  3.7979  4.0028  0.6778  3.6103  3.5785  3.0589  2.7626  2.4864  2.1267  1.8835  1.8559  2.8695  3.1818
 139  1.254551  3.7971  3.9945  0.6838  3.6016  3.5664  3.0448  2.7473  2.4700  2.1083  1.8637  1.8359  2.8546  3.1685
 140  1.256846  3.7964  3.9865  0.6897  3.5924  3.5540  3.0310  2.7323  2.4539  2.0905  1.8445  1.8165  2.8400  3.1552
 141  1.259018  3.7957  3.9784  0.6959  3.5797  3.5393  3.0173  2.7177  2.4381  2.0730  1.8257  1.7976  2.8254  3.1418
 142  1.261078  3.7950  3.9701  0.7022  3.5659  3.5238  3.0030  2.7024  2.4220  2.0552  1.8068  1.7785  2.8103  3.1278
 143  1.263026  3.7945  3.9614  0.7093  3.5497  3.5061  2.9868  2.6856  2.4042  2.0359  1.7864  1.7581  2.7934  3.1119
 144  1.264864  3.7940  3.9545  0.7149  3.5362  3.4917  2.9737  2.6718  2.3897  2.0203  1.7700  1.7415  2.7797  3.0989
 145  1.266598  3.7935  3.9482  0.7197  3.5250  3.4795  2.9630  2.6603  2.3775  2.0068  1.7555  1.7270  2.7682  3.0883
 146  1.268221  3.7930  3.9422  0.7246  3.5129  3.4670  2.9521  2.6489  2.3653  1.9936  1.7415  1.7128  2.7568  3.0774
 147  1.269769  3.7925  3.9359  0.7290  3.5027  3.4558  2.9422  2.6382  2.3538  1.9807  1.7275  1.6986  2.7461  3.0677
 148  1.271249  3.7921  3.9307  0.7330  3.4926  3.4454  2.9335  2.6290  2.3438  1.9696  1.7155  1.6867  2.7369  3.0591
 149  1.272671  3.7915  3.9257  0.7362  3.4856  3.4378  2.9269  2.6215  2.3353  1.9597  1.7047  1.6756  2.7295  3.0528
 150  1.274041  3.7909  3.9207  0.7393  3.4796  3.4307  2.9203  2.6140  2.3268  1.9499  1.6936  1.6644  2.7222  3.0465
 151  1.275360  3.7902  3.9155  0.7424  3.4746  3.4245  2.9139  2.6065  2.3183  1.9399  1.6823  1.6530  2.7150  3.0404
 152  1.276638  3.7895  3.9100  0.7454  3.4742  3.4210  2.9068  2.5981  2.3088  1.9285  1.6695  1.6400  2.7070  3.0341
 153  1.277882  3.7886  3.9044  0.7483  3.4779  3.4202  2.8996  2.5894  2.2988  1.9164  1.6557  1.6259  2.6991  3.0280
 154  1.279092  3.7878  3.8984  0.7509  3.4846  3.4214  2.8929  2.5809  2.2888  1.9039  1.6414  1.6114  2.6915  3.0227
 155  1.280279  3.7868  3.8929  0.7534  3.4916  3.4229  2.8865  2.5728  2.2793  1.8922  1.6278  1.5975  2.6843  3.0176
 156  1.281442  3.7860  3.8874  0.7556  3.4995  3.4252  2.8807  2.5652  2.2704  1.8808  1.6146  1.5840  2.6776  3.0132
 157  1.282583  3.7850  3.8818  0.7576  3.5094  3.4289  2.8754  2.5579  2.2615  1.8694  1.6012  1.5702  2.6714  3.0094
 158  1.283711  3.7840  3.8763  0.7595  3.5202  3.4332  2.8707  2.5511  2.2532  1.8584  1.5880  1.5566  2.6657  3.0062
 159  1.284828  3.7829  3.8708  0.7612  3.5317  3.4382  2.8666  2.5448  2.2452  1.8476  1.5751  1.5434  2.6604  3.0036
 160  1.285934  3.7818  3.8651  0.7627  3.5430  3.4431  2.8633  2.5394  2.2380  1.8373  1.5626  1.5305  2.6560  3.0020
 161  1.287025  3.7805  3.8591  0.7640  3.5537  3.4476  2.8614  2.5351  2.2316  1.8277  1.5501  1.5178  2.6525  3.0015
 162  1.289969  3.7772  3.8444  0.7666  3.5826  3.4595  2.8594  2.5270  2.2184  1.8058  1.5216  1.4880  2.6465  3.0033
 163  1.292768  3.7738  3.8310  0.7670  3.6192  3.4778  2.8641  2.5251  2.2108  1.7889  1.4975  1.4628  2.6467  3.0120
 164  1.295422  3.7700  3.8186  0.7651  3.6677  3.5050  2.8748  2.5284  2.2080  1.7761  1.4766  1.4408  2.6526  3.0272
 165  1.297822  3.7659  3.8077  0.7605  3.7289  3.5417  2.8931  2.5388  2.2118  1.7687  1.4603  1.4232  2.6655  3.0507
 166  1.299911  3.7616  3.7985  0.7534  3.8009  3.5866  2.9187  2.5560  2.2220  1.7671  1.4492  1.4106  2.6855  3.0819
 167  1.301710  3.7573  3.7910  0.7442  3.8821  3.6370  2.9497  2.5785  2.2378  1.7706  1.4429  1.4032  2.7106  3.1187
 168  1.303277  3.7531  3.7850  0.7337  3.9695  3.6905  2.9841  2.6049  2.2576  1.7781  1.4408  1.4000  2.7395  3.1591
 169  1.304683  3.7490  3.7801  0.7225  4.0585  3.7471  3.0215  2.6339  2.2800  1.7880  1.4410  1.3989  2.7711  3.2026
 170  1.305990  3.7448  3.7758  0.7107  4.1490  3.8063  3.0608  2.6644  2.3037  1.7995  1.4425  1.3990  2.8042  3.2482
 171  1.307259  3.7407  3.7715  0.6988  4.2430  3.8670  3.1013  2.6960  2.3284  1.8116  1.4443  1.3993  2.8384  3.2956
 172  1.308558  3.7364  3.7668  0.6867  4.3416  3.9297  3.1432  2.7284  2.3537  1.8237  1.4459  1.3990  2.8735  3.3448
 173  1.310002  3.7318  3.7605  0.6751  4.4473  3.9952  3.1859  2.7607  2.3782  1.8339  1.4446  1.3957  2.9087  3.3958
 174  1.311698  3.7268  3.7493  0.6668  4.5543  4.0569  3.2227  2.7860  2.3949  1.8346  1.4324  1.3812  2.9370  3.4420
 175  1.313478  3.7219  3.7330  0.6642  4.6463  4.1035  3.2455  2.7975  2.3980  1.8217  1.4068  1.3533  2.9514  3.4742
 176  1.315302  3.7172  3.7128  0.6664  4.7244  4.1373  3.2567  2.7979  2.3903  1.7985  1.3712  1.3154  2.9545  3.4951
 177  1.317065  3.7134  3.6908  0.6737  4.7755  4.1513  3.2525  2.7848  2.3703  1.7655  1.3281  1.2703  2.9436  3.4989
 178  1.318628  3.7105  3.6692  0.6844  4.8005  4.1486  3.2365  2.7621  2.3425  1.7280  1.2830  1.2238  2.9223  3.4889
 179  1.320014  3.7084  3.6488  0.6968  4.8091  4.1354  3.2136  2.7344  2.3110  1.6891  1.2386  1.1782  2.8957  3.4703
 180  1.321272  3.7069  3.6297  0.7100  4.8058  4.1159  3.1869  2.7041  2.2779  1.6504  1.1958  1.1346  2.8663  3.4470
 181  1.322447  3.7055  3.6113  0.7235  4.7971  4.0935  3.1585  2.6728  2.2442  1.6120  1.1537  1.0918  2.8356  3.4214
 182  1.323687  3.7044  3.5920  0.7387  4.7809  4.0656  3.1256  2.6373  2.2065  1.5701  1.1088  1.0463  2.8006  3.3907
 183  1.324908  3.7033  3.5723  0.7544  4.7609  4.0352  3.0906  2.5999  2.1673  1.5269  1.0627  0.9997  2.7638  3.3577
 184  1.326109  3.7023  3.5524  0.7708  4.7375  4.0025  3.0537  2.5609  2.1264  1.4825  1.0157  0.9522  2.7252  3.3225
