
Int #22
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  2.28266E-03  3.54945E-02  2.70131E-01  2.58453E+00  3.21633E+02  9.98460E+03
  1.00000E-03  1.91048E-02  3.31092E-01  2.55967E+00  1.72130E+01  4.21308E+02  1.07189E+04
  1.00000E-02  2.05865E-01  3.28580E+00  2.22994E+01  1.18563E+02  8.94331E+02  9.57140E+03
  1.00000E-01  1.90300E+00  2.29121E+01  1.51589E+02  6.07168E+02  2.19163E+03  7.91878E+03
  1.00000E+00  5.97739E+00  6.86606E+01  2.98960E+02  8.59308E+02  2.45294E+03  6.60255E+03
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.66713E-02  1.54339E-01  8.24711E-01  1.20761E+01  2.22917E+03  2.01227E+04
  1.00000E-03  1.65697E-01  1.43308E+00  7.51550E+00  4.97112E+01  2.23034E+03  1.87405E+04
  1.00000E-02  1.71292E+00  1.33935E+01  6.56770E+01  3.21730E+02  2.81262E+03  2.01120E+04
  1.00000E-01  1.61030E+01  1.18163E+02  4.88236E+02  1.59091E+03  4.67076E+03  1.34936E+04
  1.00000E+00  6.41844E+01  3.47845E+02  1.22479E+03  2.54210E+03  4.90903E+03  8.73166E+03
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  3.18203E-02  2.24753E-01  1.06134E+00  7.47812E+01  3.90417E+03  2.46467E+04
  1.00000E-03  3.23895E-01  2.25097E+00  1.01390E+01  1.37712E+02  3.44544E+03  2.74386E+04
  1.00000E-02  3.40221E+00  2.06361E+01  8.57726E+01  4.38002E+02  4.39800E+03  2.29470E+04
  1.00000E-01  3.16281E+01  1.75106E+02  6.62692E+02  2.06313E+03  5.85481E+03  1.67018E+04
  1.00000E+00  1.67027E+02  6.43838E+02  1.88437E+03  3.48890E+03  5.60565E+03  9.46830E+03

Int #32
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  4.57631E-05  9.86346E-04  5.09281E-03  3.45015E-02  7.21830E-01  4.08447E+02
  1.00000E-03  4.58198E-04  9.58633E-03  5.32213E-02  3.21550E-01  3.55200E+00  4.19374E+02
  1.00000E-02  4.58103E-03  9.32354E-02  5.03341E-01  3.04380E+00  2.66438E+01  6.25404E+02
  1.00000E-01  4.57123E-02  8.77359E-01  4.16817E+00  2.24421E+01  1.32850E+02  1.24423E+03
  1.00000E+00  2.11551E-01  3.90216E+00  1.21357E+01  4.24763E+01  2.32479E+02  1.52149E+03
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  6.40413E-04  4.91946E-03  1.92728E-02  9.30623E-02  4.31791E+00  1.38505E+03
  1.00000E-03  6.53636E-03  5.04321E-02  1.69982E-01  8.80706E-01  1.31848E+01  1.24795E+03
  1.00000E-02  6.27988E-02  4.63800E-01  1.68882E+00  8.37167E+00  6.46182E+01  1.35766E+03
  1.00000E-01  6.20493E-01  4.49806E+00  1.56224E+01  6.18488E+01  2.73846E+02  1.92772E+03
  1.00000E+00  3.96766E+00  2.46683E+01  5.71497E+01  1.39577E+02  5.16764E+02  1.71441E+03
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.82277E-03  7.30756E-03  2.58426E-02  1.17170E-01  2.06216E+01  2.27174E+03
  1.00000E-03  1.77601E-02  7.12787E-02  2.60664E-01  9.99304E-01  4.47333E+01  2.41008E+03
  1.00000E-02  1.74525E-01  7.12415E-01  2.44654E+00  9.90649E+00  1.00208E+02  2.07998E+03
  1.00000E-01  1.71033E+00  6.98322E+00  2.28153E+01  8.30401E+01  3.22759E+02  2.13942E+03
  1.00000E+00  1.36217E+01  4.48075E+01  1.00314E+02  2.10460E+02  5.62299E+02  1.72802E+03

Int #33
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  2.12268E-07  1.58435E-06  6.34163E-06  2.56551E-05  1.91071E-04  6.87329E-02
