# 
# HITRAN 2016, longwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
 10.00000   3.87814E-33 2.35706E-32 1.18454E-31 8.49222E-31 1.59857E-30 1.72642E-30 1.89615E-30 2.08434E-30
100.00000   3.73573E-32 2.33032E-31 1.19168E-30 8.55823E-30 1.59943E-29 1.73771E-29 1.89640E-29 2.10387E-29
 
          3
          250.0
  0.00001   2.01232E-38 9.13617E-38 3.45693E-37 1.37009E-36 3.13572E-36 5.38679E-36 2.63835E-35 1.31495E-31
  0.00010   2.01232E-37 9.13616E-37 3.45692E-36 1.37009E-35 3.13571E-35 5.38673E-35 2.61755E-34 1.40767E-31
  0.00100   2.01232E-36 9.13613E-36 3.45683E-35 1.36990E-34 3.13484E-34 5.38083E-34 2.55273E-33 2.07906E-31
  0.01000   2.01211E-35 9.13307E-35 3.44879E-34 1.35332E-33 2.99105E-33 4.63115E-33 1.46072E-32 4.90086E-31
  0.10000   1.98848E-34 8.90919E-34 3.12175E-33 1.11023E-32 2.00768E-32 2.42596E-32 3.77281E-32 6.07763E-31
  1.00000   1.59355E-33 6.64787E-33 2.10562E-32 9.37933E-32 1.61972E-31 2.00649E-31 2.89351E-31 5.43948E-31
 10.00000   1.03336E-32 4.96254E-32 2.04214E-31 9.35854E-31 1.58895E-30 1.72272E-30 1.89076E-30 2.04646E-30
100.00000   9.69601E-32 4.80656E-31 2.04309E-30 9.33115E-30 1.54118E-29 1.64689E-29 1.77133E-29 1.92012E-29
 
          3
          300.0
  0.00001   4.06439E-38 1.72264E-37 5.89366E-37 3.08893E-36 1.33150E-35 2.56888E-35 1.54912E-34 4.44789E-31
  0.00010   4.06439E-37 1.72264E-36 5.89365E-36 3.08892E-35 1.33149E-34 2.56885E-34 1.52919E-33 5.36511E-31
  0.00100   4.06439E-36 1.72264E-35 5.89359E-35 3.08815E-34 1.33095E-33 2.56539E-33 1.45607E-32 1.40655E-30
  0.01000   4.06411E-35 1.72224E-34 5.88683E-34 3.02155E-33 1.26144E-32 2.24391E-32 8.04925E-32 6.72823E-30
  0.10000   4.03110E-34 1.68849E-33 5.54048E-33 1.89901E-32 6.26768E-32 9.43446E-32 2.41007E-31 1.00364E-29
  1.00000   3.36873E-33 1.27893E-32 3.45650E-32 1.23013E-31 2.82498E-31 6.88519E-31 1.87928E-30 6.80783E-30
 10.00000   2.14958E-32 8.59313E-32 3.17264E-31 1.20887E-30 2.44734E-30 3.20750E-30 3.94273E-30 4.34433E-30
100.00000   1.99508E-31 8.14470E-31 3.13702E-30 1.11464E-29 1.71857E-29 1.82257E-29 1.95096E-29 2.08657E-29
 
          3
          350.0
  0.00001   6.91573E-38 2.83856E-37 9.88992E-37 8.29597E-36 5.17788E-35 9.08436E-35 6.08293E-34 1.05733E-30
  0.00010   6.91573E-37 2.83855E-36 9.88991E-36 8.29595E-35 5.17787E-34 9.08222E-34 5.94844E-33 1.61182E-30
  0.00100   6.91572E-36 2.83855E-35 9.88983E-35 8.29350E-34 5.17678E-33 9.06918E-33 5.50937E-32 7.08062E-30
  0.01000   6.91533E-35 2.83798E-34 9.88080E-34 7.99690E-33 4.93804E-32 8.16831E-32 3.09815E-31 4.37185E-29
  0.10000   6.87366E-34 2.78960E-33 9.43364E-33 4.29765E-32 1.72499E-31 3.81273E-31 1.39356E-30 7.05834E-29
  1.00000   5.94951E-33 2.15376E-32 5.67966E-32 2.25828E-31 9.29469E-31 3.42464E-30 1.12964E-29 4.92239E-29
