 
 P =             1  mbar      T =          150  K
 int#     k1          k2          k3          k4          k5          k6
21    1.43605E-24 1.04660E-23 6.25930E-23 3.24623E-22 1.70906E-21 2.89720E-20
22    2.47775E-22 4.57312E-22 9.65214E-22 3.44283E-21 2.56910E-20 4.84209E-19
23    6.64193E-25 1.80812E-24 6.58009E-24 3.38913E-23 2.90277E-22 5.02518E-21
24    1.39703E-25 5.32641E-25 1.68361E-24 6.98085E-24 6.69859E-23 1.18333E-21
25    1.64275E-25 3.50362E-25 6.35465E-25 2.16880E-24 1.55625E-23 3.94394E-22
26    8.89237E-28 5.62261E-27 2.06387E-26 6.84894E-26 4.77779E-25 1.48764E-23
27    4.76813E-29 1.81086E-28 5.47915E-28 2.01620E-27 8.48905E-27 7.36587E-26
28    1.31127E-31 8.96585E-31 5.31933E-30 3.67989E-29 2.93757E-28 4.86120E-27
29    8.63166E-34 2.83366E-33 1.00127E-32 9.87604E-32 1.12134E-30 6.07904E-29
30    6.41827E-30 2.39498E-28 4.78738E-27 1.54165E-26 1.27169E-25 6.55584E-24
31    8.60755E-27 2.18450E-26 5.57314E-26 1.88346E-25 1.00786E-24 1.14694E-23
32    1.82552E-26 5.88354E-26 1.68248E-25 7.22319E-25 4.01652E-24 9.00941E-23
33    8.75512E-25 3.81184E-24 1.21936E-23 4.39344E-23 2.15276E-22 2.22565E-21
34    2.76693E-23 1.11043E-22 2.73077E-22 7.64900E-22 3.78321E-21 9.20577E-20
35    0.00000E+00 0.00000E+00 0.00000E+00 6.44557E-26 4.61538E-23 1.24406E-21
36    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.53353E-27 1.62228E-25
37    1.41787E-25 6.98235E-25 2.61060E-24 1.02601E-23 5.49665E-23 5.11194E-22
38    1.28875E-24 1.17468E-23 4.48184E-23 1.77832E-22 9.44564E-22 9.66012E-21
39    1.15813E-34 9.26224E-31 1.03897E-28 4.42057E-26 4.40126E-24 2.85987E-22
40    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.23547E-27 8.49223E-26
41    0.00000E+00 0.00000E+00 1.13402E-24 1.00605E-23 6.99024E-23 6.33692E-22
42    0.00000E+00 0.00000E+00 0.00000E+00 2.17142E-24 2.06284E-23 3.38050E-22
43    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
44    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
45    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
46    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
47    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
48    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
49    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
50    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
51    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
52    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
53    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
54    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
55    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 
 P =          1000  mbar      T =          150  K
 int#     k1          k2          k3          k4          k5          k6
 1    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5    2.13760E-29 2.52660E-29 3.30986E-29 1.06017E-28 3.16654E-28 3.41105E-27
 6    5.37082E-28 1.16555E-27 2.62708E-27 5.34708E-27 2.21780E-26 2.84443E-25
 7    2.57981E-28 6.38446E-28 1.62185E-27 3.81228E-27 1.56001E-26 2.69214E-25
 8    2.43914E-29 4.98427E-29 1.14073E-28 2.71174E-28 6.79407E-28 2.69270E-27
 9    5.81406E-30 2.01082E-29 5.80676E-29 1.40005E-28 3.21457E-28 7.77193E-28
10    2.44451E-30 5.00485E-30 1.25880E-29 2.62729E-29 8.82519E-29 4.79755E-28
11    1.20046E-31 4.68784E-31 1.09985E-30 2.70453E-30 8.64002E-30 7.47683E-29
12    1.13609E-33 4.76410E-33 1.56485E-32 6.12070E-32 2.19093E-31 7.82754E-31
13    4.74480E-34 7.05509E-34 1.42679E-33 8.56157E-33 5.30204E-32 3.31135E-31
14    7.33285E-35 1.35961E-34 3.48371E-34 1.12363E-33 6.25249E-33 4.60545E-32
15    0.00000E+00 9.54284E-43 3.46125E-37 2.58465E-35 2.13093E-34 2.72012E-33
16    0.00000E+00 1.98470E-34 9.18340E-33 3.38740E-31 3.14138E-30 3.31632E-29
17    4.17203E-30 1.35326E-29 3.84759E-29 1.25411E-28 3.61228E-28 1.41209E-27
18    4.17830E-28 1.39434E-27 5.43907E-27 1.89145E-26 6.29715E-26 2.08862E-25
19    5.95324E-26 1.68697E-25 3.65240E-25 8.91398E-25 2.08423E-24 5.94938E-24
20    9.68953E-25 3.37877E-24 7.42729E-24 1.48230E-23 2.85670E-23 6.81464E-23
21    1.08951E-23 4.96100E-23 2.44336E-22 1.73797E-21 8.18000E-21 5.22776E-20
22    2.34448E-21 4.32107E-21 7.47103E-21 2.10012E-20 1.03534E-19 3.62654E-19
23    4.78437E-24 1.13503E-23 3.22531E-23 1.02350E-22 9.97579E-22 1.44690E-20
24    1.07802E-24 3.70905E-24 1.14585E-23 3.55982E-23 2.50136E-22 1.44520E-21
25    1.48439E-24 3.03331E-24 5.32475E-24 1.67980E-23 8.98798E-23 5.14861E-22
26    6.40640E-27 2.58525E-26 7.70391E-26 2.70659E-25 1.75477E-24 2.41850E-23
27    4.24571E-28 1.18866E-27 2.79085E-27 7.10702E-27 2.06059E-26 8.10212E-26
28    1.31044E-30 8.82292E-30 5.03800E-29 2.62228E-28 1.05072E-27 6.64330E-27
29    8.63242E-33 2.83045E-32 1.00103E-31 9.89818E-31 9.95834E-30 1.20261E-28
30    5.08210E-29 1.63193E-27 3.27399E-26 1.23556E-25 6.29354E-25 1.20481E-23
31    7.95865E-26 1.86931E-25 3.70001E-25 8.23858E-25 2.45368E-24 1.34084E-23
32    1.63417E-25 4.85346E-25 1.33985E-24 4.76076E-24 2.16497E-23 1.87604E-22
33    7.28065E-24 3.06541E-23 7.80859E-23 1.93242E-22 5.23618E-22 2.32524E-21
34    1.86423E-22 6.97277E-22 1.63050E-21 3.89654E-21 1.29415E-20 2.57356E-19
35    0.00000E+00 0.00000E+00 0.00000E+00 5.58385E-25 1.95780E-22 5.46394E-21
36    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.55870E-26 1.43865E-24
37    1.39865E-24 5.93481E-24 1.62553E-23 3.93968E-23 1.20021E-22 4.99893E-22
38    9.39127E-24 6.46851E-23 2.14672E-22 7.24011E-22 2.39898E-21 9.56135E-21
39    1.25472E-33 9.23425E-30 7.80141E-28 1.55234E-25 2.83841E-23 6.32874E-22
40    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.22978E-26 4.53779E-25
41    0.00000E+00 0.00000E+00 1.04136E-23 5.37731E-23 1.64146E-22 5.64856E-22
42    0.00000E+00 0.00000E+00 0.00000E+00 1.87708E-23 8.26970E-23 8.11747E-22
