"WL.um."	"FLUX.W.m2.um."
0.769	427.594388304167
0.771	459.073729774412
0.773	490.553071244658
0.775	495.799628156365
0.777	501.046185068073
0.779	503.669463523927
0.781	524.655691170757
0.783	608.600601758078
0.785	595.484209478809
0.787	579.744538743687
0.789	689.922233889546
0.791	632.210107860762
0.793	658.4428924193
0.795	705.661904624668
0.797	737.141246094914
0.799	692.5455123454
0.801	855.188776608334
0.803	907.65434572541
0.805	926.017294916386
0.807	1099.15367300274
0.809	1190.96841895762
0.811	1232.94087425128
0.813	1364.10479704397
0.815	1516.25494748349
0.817	1547.73428895373
0.819	842.072384329065
0.821	1421.81692307275
0.823	1453.29626454300
0.825	1466.41265682227
0.827	1348.36512630885
0.829	1314.26250638275
0.831	1306.39267101519
0.833	1154.24252057567
0.835	1198.83825432518
0.837	1180.47530513420
0.839	1044.06482542981
0.841	1177.85202667835
0.843	1036.19499006225
0.845	920.770738004679
0.847	876.175004255164
0.849	926.017294916386
0.851	905.031067269556
0.853	918.147459548825
0.855	936.510408739802
0.857	1036.19499006225
0.859	1015.20876241542
0.861	1033.57171160639
0.863	1128.00973601713
0.865	1112.27006528201
0.867	967.989750210047
0.869	978.482864033462
0.871	1159.48907748737
0.873	1169.98219131079
0.875	1190.96841895762
0.877	1206.70808969274
0.879	1290.65300028006
0.881	1298.52283564762
0.883	1222.44776042786
0.885	1264.42021572152
0.887	1209.33136814860
0.889	1227.69431733957
0.891	1238.18743116299
0.893	1290.65300028006
0.895	1327.37889866202
0.897	1340.49529094128
0.899	1256.55038035396
0.901	1314.26250638275
0.903	1340.49529094128
0.905	1369.35135395568
0.907	1225.07103888372
0.909	1309.01594947104
0.911	1385.0910246908
0.913	1398.20741697007
0.915	1411.32380924934
0.917	1421.81692307275
0.919	1442.80315071958
0.921	1408.70053079348
0.923	1337.87201248543
0.925	1340.49529094128
0.927	1361.48151858811
0.929	1306.39267101519
0.931	1303.76939255933
0.933	1345.74184785299
0.935	1335.24873402958
0.937	1306.39267101519
0.939	1348.36512630885
0.941	1377.22118932324
0.943	1387.71430314665
0.945	1390.33758160251
0.947	1432.31003689617
0.949	1445.42642917544
0.951	1448.04970763129
0.953	1471.65921373397
0.955	1440.17987226373
0.957	1469.03593527812
0.959	1471.65921373397
0.961	1432.31003689617
0.963	1445.42642917544
0.965	1345.74184785299
0.967	1361.48151858811
0.969	1419.19364461690
0.971	1369.35135395568
0.973	1369.35135395568
0.975	1398.20741697007
0.977	1437.55659380787
0.979	1356.23496167641
0.981	1492.64544138080
0.983	1487.39888446910
0.985	1500.51527674837
0.987	1500.51527674837
0.989	1500.51527674837
0.991	918.147459548825
0.993	1091.28383763517
0.995	1193.59169741347
0.997	1219.82448197201
0.999	1227.69431733957
1.0025	1246.05726653055
1.0075	1259.17365880982
1.0125	1285.40644336835
1.0175	1280.15988645665
1.0225	1295.89955719177
1.0275	1309.01594947104
1.0325	1316.8857848386
1.0375	1314.26250638275
1.0425	1330.00217711787
1.0475	1316.8857848386
1.0525	1306.39267101519
1.0575	1274.91332954494
1.0625	1269.66677263323
1.0675	1264.42021572152
1.0725	1267.04349417738
1.0775	1290.65300028006
1.0825	1264.42021572152
1.0875	1288.02972182421
1.0925	1311.63922792689
1.0975	1298.52283564762
1.1025	1274.91332954494
1.1075	1264.42021572152
1.1125	1246.05726653055
1.1175	1230.31759579543
1.1225	1222.44776042786
1.1275	1190.96841895762
1.1325	1185.72186204591
1.1375	1065.05105307664
1.1425	1028.32515469468
1.1475	1148.99596366396
1.1525	1143.74940675225
1.1575	1109.64678682615
1.1625	1044.06482542981
1.1675	1017.83204087127
1.1725	1096.53039454688
1.1775	962.74319329834
1.1825	1049.31138234151
1.1875	999.469091680292
1.1925	1025.70187623883
1.1975	926.017294916386
1.2025	933.887130283948
1.2075	973.236307121755
1.2125	944.380244107363
1.2175	965.366471754193
1.2225	967.989750210047
1.2275	962.74319329834
1.2325	954.873357930778
1.2375	952.250079474924
1.2425	844.695662784919
1.2475	910.277624181264
1.2525	881.421561166872
1.2575	933.887130283948
1.2625	931.263851828094
1.2675	907.65434572541
1.2725	918.147459548825
1.2775	912.900902637117
1.2825	886.66811807858
1.2875	905.031067269556
1.2925	886.66811807858
1.2975	902.407788813702
1.3025	905.031067269556
1.3075	902.407788813702
1.3125	842.072384329065
1.3175	868.305168887603
1.3225	865.68189043175
1.3275	836.825827417358
1.3325	792.230093667843
1.3375	768.620587565159
1.3425	739.764524550768
1.3475	713.53173999223
1.3525	692.5455123454
1.3575	682.052398521984
1.3625	674.182563154423
1.3675	687.298955433692
1.3725	695.168790801253
1.3775	703.038626168815
1.3825	703.038626168815
1.3875	692.5455123454
1.3925	679.42912006613
1.3975	666.312727786862
1.4025	650.573057051739
1.4075	642.703221684177
1.4125	629.586829404909
1.4175	621.716994037347
1.4225	613.847158669786
1.4275	600.730766390517
1.4325	600.730766390517
1.4375	598.107487934663
1.4425	595.484209478809
1.4475	592.860931022956
1.4525	592.860931022956
1.457	590.237652567102
1.462	590.237652567102
1.4675	584.991095655394
1.4725	584.991095655394
1.4775	582.36781719954
1.4825	587.614374111248
1.4875	587.614374111248
1.4925	590.237652567102
1.4975	592.860931022956
1.5025	582.36781719954
1.5075	595.484209478809
1.5125	598.107487934663
1.5175	590.237652567102
1.5225	605.977323302224
1.5275	605.977323302224
1.5325	608.600601758078
1.5375	613.847158669786
1.5425	616.47043712564
1.5475	616.47043712564
1.5525	619.093715581493
1.5575	621.716994037347
1.5625	626.963550949055
1.5675	629.586829404909
1.5725	629.586829404909
1.5775	632.210107860762
1.5825	637.45666477247
1.5875	640.079943228324
1.5925	642.703221684177
1.5975	645.326500140031
1.605	647.949778595885
1.615	647.949778595885
1.625	653.196335507593
1.635	653.196335507593
1.645	650.573057051739
1.655	650.573057051739
1.665	647.949778595885
1.675	634.833386316616
1.685	637.45666477247
1.695	629.586829404909
1.705	616.47043712564
1.715	592.860931022956
1.725	574.497981831979
1.735	550.888475729295
1.745	527.278969626611
1.755	503.669463523927
1.765	480.059957421243
1.775	459.073729774412
1.785	438.087502127582
1.795	419.724552936606
1.805	406.608160657337
1.815	398.738325289775
1.825	396.115046833922
1.835	393.491768378068
1.845	377.752097642945
1.855	372.505540731238
1.865	364.635705363676
1.875	359.389148451969
1.885	359.389148451969
1.895	359.389148451969
1.905	359.389148451969
1.915	359.389148451969
1.925	356.765869996115
1.935	348.896034628553
1.945	341.026199260992
1.955	338.402920805138
1.965	335.779642349285
1.975	320.039971614162
1.985	314.793414702454
1.995	312.170136246601
2.005	309.546857790747
2.015	306.923579334893
2.025	301.677022423185
2.035	301.677022423185
2.045	299.053743967332
2.055	296.430465511478
2.065	296.430465511478
2.075	296.430465511478
2.085	296.430465511478
2.095	296.430465511478
2.105	296.430465511478
2.115	296.430465511478
2.125	299.053743967332
2.135	301.677022423185
2.145	301.677022423185
2.155	301.677022423185
2.165	304.300300879039
2.175	301.677022423185
2.185	301.677022423185
2.195	301.677022423185
2.205	283.314073232209
2.215	299.053743967332
2.225	293.807187055624
2.235	293.807187055624
2.245	291.18390859977
2.255	291.18390859977
2.265	285.937351688063
2.275	285.937351688063
2.285	280.690794776355
2.295	252.359387453134
2.305	251.834731761963
2.315	253.146370989890
2.325	229.012209196035
2.335	227.175914276938
2.345	231.110831960719
2.355	214.846505534425
2.365	214.846505534425
2.375	211.698571387401
2.385	200.9431297184
2.395	197.53286772579
2.405	191.761655122912
2.415	183.367164064180
2.425	178.120607152472
2.435	172.349394549594
2.445	165.004214873203
2.455	157.921363042398
2.465	152.674806130690
2.475	146.903593527812
2.485	140.607725233763
2.495	134.836512630885
2.505	130.901594947104
2.515	127.229005108909
2.525	124.868054498640
2.535	123.031759579543
2.545	121.720120351616
2.555	120.933136814860
2.565	120.670808969274
2.575	121.195464660445
2.585	121.982448197201
2.595	123.031759579543
2.605	123.818743116299
2.615	124.605726653055
2.625	124.605726653055
2.635	124.343398807469
2.645	123.818743116299
2.655	123.031759579543
2.665	122.244776042786
2.675	119.621497586933
2.685	116.211235594323
2.695	110.702350837030
2.705	105.980449616493
2.715	103.094843315054
2.725	100.996220550371
2.735	99.9469091680292
2.745	98.8975977856877
2.755	98.1106142489316
2.765	97.06130286659
2.775	96.274319329834
2.785	94.962680101907
2.795	93.6510408739802
2.805	92.0770738004679
2.815	90.2407788813702
2.825	88.9291396534433
2.835	87.6175004255164
2.845	86.0435333520042
2.855	84.7318941240773
