  Int#    Range (A)      Flux       Ozone1     Ozone2     CH3CHO     CH3COCH3
=============================================================================
  17  7.6E-24  1.0E-24  2.0E-26  4.9E-18  2.0E-20  1.0E-20  2.7E-20  1.0E-22  4.7E-22  4.5E-19
  18  7.3E-24  1.0E-25  3.5E-27  4.9E-18  1.3E-20  6.2E-21  1.6E-20  0.0E-00  2.7E-22  3.3E-19
  19  7.0E-24  0.0E-00  0.0E-00  4.9E-18  8.5E-21  4.3E-21  9.6E-21  0.0E-00  0.0E-00  2.4E-19
  20  6.5E-24  0.0E-00  0.0E-00  4.9E-18  5.5E-21  2.9E-21  5.6E-21  0.0E-00  0.0E-00  1.7E-19
  21  5.8E-24  0.0E-00  0.0E-00  4.6E-18  3.4E-21  1.8E-21  3.0E-21  0.0E-00  0.0E-00  1.1E-19
  22  5.2E-24  0.0E-00  0.0E-00  4.4E-18  2.1E-21  1.1E-21  1.8E-21  0.0E-00  0.0E-00  6.8E-20
  23  4.7E-24  0.0E-00  0.0E-00  4.2E-18  1.3E-21  6.4E-22  1.0E-21  0.0E-00  0.0E-00  4.4E-20
  24  4.3E-24  0.0E-00  0.0E-00  3.8E-18  7.5E-22  4.0E-22  5.6E-22  0.0E-00  0.0E-00  2.9E-20
  25  3.8E-24  0.0E-00  0.0E-00  3.5E-18  4.4E-22  0.0E-00  3.2E-22  0.0E-00  0.0E-00  1.7E-20
  26  3.4E-24  0.0E-00  0.0E-00  3.2E-18  2.4E-22  0.0E-00  1.7E-22  0.0E-00  0.0E-00  1.0E-20
  27  2.9E-24  0.0E-00  0.0E-00  2.8E-18  1.3E-22  0.0E-00  8.4E-23  0.0E-00  0.0E-00  6.0E-21
  28  2.5E-24  0.0E-00  0.0E-00  2.4E-18  7.3E-23  0.0E-00  4.1E-23  0.0E-00  0.0E-00  3.5E-21
  29  2.1E-24  0.0E-00  0.0E-00  2.0E-18  4.0E-23  0.0E-00  2.0E-23  0.0E-00  0.0E-00  1.9E-21
  30  1.7E-24  0.0E-00  0.0E-00  1.6E-18  2.1E-23  0.0E-00  9.5E-24  0.0E-00  0.0E-00  1.0E-21
  31  1.3E-24  0.0E-00  0.0E-00  1.3E-18  1.1E-23  0.0E-00  3.5E-24  0.0E-00  0.0E-00  5.5E-22
  32  9.3E-25  0.0E-00  0.0E-00  1.0E-18  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0
  33  0.0E-00  0.0E-00  0.0E-00  7.7E-19  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0
  34  0.0E-00  0.0E-00  0.0E-00  5.8E-19  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0
  35  0.0E-00  0.0E-00  0.0E-00  4.5E-19  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0E-00  0.0

  INT   H202    HN03    H02N02  PAN     PPN     CH3OOH  NO2     H2CO    1    2  
===============================================================================
   1   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.5E-19 0.0     0.   0. 
   2   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.5E-19 0.0     0.   0. 
   3   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.5E-19 0.0     0.   0. 
   4   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.5E-19 0.0     0.   0. 
   5   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.5E-19 0.0     0.   0. 
   6   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.5E-19 0.0     0.   0. 
   7   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.7E-19 0.0     0.   0. 
   8   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.9E-19 0.0     0.   0. 
   9   7.0E-19 1.6E-17 1.1E-17 3.0E-18 2.7E-18 3.8E-19 2.9E-19 0.0     0.   0. 
  10   6.5E-19 1.5E-17 1.0E-17 3.0E-18 2.7E-18 3.8E-19 2.9E-19 0.0     0.   0. 
  11   6.0E-19 1.3E-17 8.9E-18 3.0E-18 2.7E-18 3.8E-19 2.8E-19 0.0     0.   0. 
  12   5.6E-19 1.0E-17 8.0E-18 3.0E-18 2.7E-18 3.8E-19 2.4E-19 0.0     0.   0. 
  13   5.3E-19 8.8E-18 7.0E-18 3.0E-18 2.7E-18 3.8E-19 2.4E-19 0.0     0.   0. 
  14   4.9E-19 7.2E-18 6.0E-18 3.0E-18 2.7E-18 3.8E-19 2.5E-19 0.0     0.   0. 
  15   4.6E-19 5.7E-18 5.3E-18 3.0E-18 2.7E-18 3.8E-19 2.6E-19 0.0     0.   0. 
  16   4.3E-19 4.3E-18 4.3E-18 2.6E-18 2.3E-18 3.8E-19 3.2E-19 0.0     0.   0. 
  17   4.0E-19 3.1E-18 3.7E-18 2.3E-18 2.1E-18 3.8E-19 3.7E-19 0.0     0.   0. 
  18   3.8E-19 2.0E-18 3.1E-18 2.0E-18 1.8E-18 3.8E-19 3.8E-19 0.0     0.   0. 
  19   3.5E-19 1.3E-18 2.5E-18 1.7E-18 1.5E-18 3.8E-19 3.8E-19 0.0     0.   0. 
  20   3.3E-19 8.5E-19 2.2E-18 1.5E-18 1.3E-18 3.6E-19 3.9E-19 0.0     0.   0. 
  21   3.1E-19 5.2E-19 1.8E-18 1.2E-18 1.1E-18 3.1E-19 4.0E-19 0.0     0.   0. 
  22   2.9E-19 2.7E-19 1.5E-18 1.0E-18 9.0E-19 2.8E-19 4.0E-19 0.0     0.   0. 
  23   2.7E-19 1.8E-19 1.3E-18 8.7E-19 7.5E-19 2.5E-19 4.0E-19 0.0     0.   0. 
  24   2.5E-19 1.3E-19 1.1E-18 7.4E-19 6.3E-19 2.2E-19 3.9E-19 0.0     0.   0. 
  25   2.3E-19 1.0E-19 1.0E-18 6.3E-19 5.4E-19 1.9E-19 3.7E-19 0.0     0.   0. 
  26   2.2E-19 8.0E-20 9.3E-19 5.2E-19 4.4E-19 1.7E-19 3.1E-19 0.0     0.   0. 
  27   1.9E-19 6.0E-20 8.3E-19 4.4E-19 3.8E-19 1.5E-19 2.6E-19 0.0     0.   0. 
  28   1.7E-19 4.9E-20 7.6E-19 3.6E-19 3.2E-19 1.4E-19 2.2E-19 0.0     0.   0. 
  29   1.6E-19 3.8E-20 7.0E-19 3.1E-19 2.6E-19 1.2E-19 1.7E-19 0.0     0.   0. 
  30   1.4E-19 3.1E-20 6.4E-19 2.5E-19 2.2E-19 1.0E-19 1.2E-19 0.0     0.   0. 
  31   1.3E-19 2.6E-20 5.9E-19 2.2E-19 1.8E-19 9.0E-20 7.3E-20 3.0E-22 .21  .42
  32   1.1E-19 2.3E-20 5.4E-19 1.7E-19 1.5E-19 8.0E-20 5.3E-20 4.5E-22 .22  .43
  33   1.0E-19 2.1E-20 4.8E-19 1.4E-19 1.2E-19 7.0E-20 4.3E-20 6.8E-22 .23  .44
  34   9.0E-20 1.9E-20 4.3E-19 1.2E-19 9.6E-20 6.0E-20 3.3E-20 1.1E-21 .24  .45
  35   8.0E-20 1.9E-20 3.9E-19 9.6E-20 8.0E-20 5.4E-20 2.4E-20 1.6E-21 .25  .46
  36   6.8E-20 1.9E-20 3.4E-19 7.8E-20 6.4E-20 4.7E-20 1.5E-20 2.6E-21 .27  .47
  37   5.8E-20 1.9E-20 3.0E-19 6.4E-20 5.0E-20 4.0E-20 1.7E-20 4.0E-21 .29  .48
  38   5.0E-20 1.9E-20 2.6E-19 5.1E-20 4.1E-20 3.5E-20 1.9E-20 5.2E-21 .31  .48
  39   4.2E-20 1.8E-20 2.2E-19 4.0E-20 3.2E-20 3.0E-20 2.1E-20 6.7E-21 .35  .48
  40   3.5E-20 1.7E-20 1.9E-19 3.1E-20 2.5E-20 2.6E-20 2.6E-20 8.2E-21 .38  .47
  41   3.0E-20 1.5E-20 1.6E-19 2.3E-20 1.9E-20 2.2E-20 3.4E-20 1.0E-20 .42  .44
  42   2.5E-20 1.3E-20 1.2E-19 1.7E-20 1.4E-20 1.9E-20 4.2E-20 1.4E-20 .48  .40
  43   2.0E-20 1.1E-20 9.5E-20 1.2E-20 1.0E-20 1.5E-20 5.1E-20 1.8E-20 .54  .35
  44   1.7E-20 9.2E-21 7.2E-20 8.3E-21 6.8E-21 1.3E-20 6.3E-20 2.1E-20 .62  .32
  45   1.3E-20 7.0E-21 5.0E-20 5.4E-21 4.3E-21 1.0E-20 7.6E-20 2.4E-20 .68  .28
  46   1.0E-20 5.1E-21 3.4E-20 3.3E-21 2.5E-21 8.2E-21 8.6E-20 2.6E-20 .73  .25
  47   8.0E-21 3.4E-21 2.3E-20 1.9E-21 1.4E-21 6.6E-21 1.0E-19 2.6E-20 .78  .23
  48   6.7E-21 2.5E-21 1.7E-20 1.2E-21 9.3E-22 5.6E-21 1.2E-19 2.6E-20 .78  .22
  49   5.0E-21 1.4E-21 1.1E-20 5.0E-22 4.2E-22 4.3E-21 1.6E-19 2.5E-20 .79  .22
  50   3.7E-21 7.4E-22 6.9E-21 2.6E-22 2.2E-22 3.4E-21 1.7E-19 2.4E-20 .77  .23
  51   2.8E-21 3.2E-22 4.2E-21 1.3E-22 1.1E-22 2.5E-21 2.2E-19 2.1E-20 .71  .29
  52   2.0E-21 1.2E-22 3.0E-21 6.4E-23 5.2E-23 1.9E-21 2.5E-19 1.9E-20 .62  .38
  53   1.5E-21 5.0E-23 2.0E-21 3.1E-23 2.6E-23 1.4E-21 2.8E-19 1.8E-20 .48  .51
  54   1.2E-21 2.0E-23 1.0E-21 1.6E-23 1.3E-23 1.1E-21 3.0E-19 1.8E-20 .31  .69
  55   9.0E-22 0.0     0.0     7.5E-24 6.6E-24 8.0E-22 3.5E-19 1.5E-20 .00  .73
  56   7.0E-22 0.0     0.0     3.8E-24 3.4E-24 6.0E-22 3.9E-19 1.2E-20 .00  .69
  57   5.0E-22 0.0     0.0     0.0     0.0     4.7E-22 4.1E-19 7.7E-21 .00  .55
  58   3.0E-22 0.0     0.0     0.0     0.0     4.0E-22 4.1E-19 4.2E-21 .00  .40
  59   0.0     0.0     0.0     0.0     0.0     0.0     4.5E-19 6.0E-22 .00  .12
