 (nm)        32SO2           33SO2            34SO2            Error 32SO2      Error 33SO2      Error 34SO2
187.6928    3.2484996E-18    3.4405559E-18    5.7891389E-18    2.7777810E-18    7.7131396E-19    8.3134012E-19
187.7200    3.2261075E-18    3.5598388E-18    5.5605014E-18    2.4934567E-18    5.3771532E-19    1.2385243E-18
187.7472    3.5137499E-18    3.8373110E-18    5.3711898E-18    1.6462269E-18    4.3823525E-19    1.5108192E-18
187.7744    3.9680147E-18    4.1871467E-18    5.0573510E-18    8.3433017E-19    4.7627198E-19    1.5227555E-18
187.8016    4.3119164E-18    4.4890036E-18    4.6564079E-18    1.6060758E-18    5.9548593E-19    1.6836294E-18
187.8288    4.3620976E-18    4.6420798E-18    4.4067434E-18    2.3786574E-18    7.1167379E-19    2.0533711E-18
187.8560    4.1678060E-18    4.6703116E-18    4.4832001E-18    2.2216965E-18    7.1648347E-19    2.2114540E-18
187.8833    3.9457586E-18    4.6731094E-18    4.8524162E-18    1.3971103E-18    5.9575613E-19    1.9092406E-18
187.9105    3.8515083E-18    4.7205723E-18    5.3490507E-18    5.2259227E-19    5.4082601E-19    1.3535723E-18
187.9377    3.8615114E-18    4.7993524E-18    5.7911807E-18    1.4226039E-18    6.1495936E-19    9.4658666E-19
187.9650    3.8832604E-18    4.8419620E-18    6.0468748E-18    2.4288486E-18    6.3595219E-19    8.3578071E-19
187.9923    3.8535736E-18    4.8338060E-18    6.0400386E-18    2.7942101E-18    5.1765884E-19    8.9396285E-19
188.0195    3.7460738E-18    4.7738951E-18    5.7678955E-18    2.5033118E-18    2.9060656E-19    1.0786782E-18
188.0468    3.6250607E-18    4.6097656E-18    5.4016634E-18    1.9349235E-18    3.9465842E-19    1.3088732E-18
188.0741    3.6007933E-18    4.4032060E-18    5.1936270E-18    1.5099051E-18    6.9836714E-19    1.4007396E-18
188.1014    3.6937260E-18    4.2765488E-18    5.2287793E-18    1.4891574E-18    9.1728937E-19    1.2596247E-18
188.1287    3.7722196E-18    4.2793098E-18    5.3997035E-18    1.7857747E-18    1.1094580E-18    9.8715590E-19
188.1560    3.6631153E-18    4.3321090E-18    5.5598859E-18    1.9499688E-18    1.2623447E-18    8.3448044E-19
188.1833    3.3391429E-18    4.2908057E-18    5.6492579E-18    1.9815069E-18    1.3026232E-18    9.3905556E-19
